surface_id	png_sha256	png_bytes	xml_sha256	xml_bytes
shared.home.empty	5b17efa4ab9fad68ca1c96028aea2ff764e281d176a433b2ecd1a531687c0051	219427	266147708456694fb55cf89321772cdf73df6736f52b9a07633fb085f5f7a3dd	54081
shared.home.populated	25ba74ab15eb1f0e4c2719f3e085dc6dd0f990435c975a02b24c10f69a1bb855	171576	ca77d9eb299d2de1506f54afcbd1e0a801f6ba645b8b882f17485026bec56273	69310
shared.home.skipped	25a0a0a116daf0e89330a31ea2d1e2cc170f6af24de60f6f675504a39cc04342	165716	5eefe6f94b245e7d8b8f3f54918bed1ab1a76464baba0cb7e038869d52f3beac	54987
shared.home.summary-large-rtl	04e94099b78eccbe6fbd354ef75829e0b416c5890aff3a9f07d4f0dfe3fd2351	107230	dfa93a4f91a7a90dbe8eeb03b6e2f70e972eeff5030fa4258b5a5dfe07ba6f59	22923
shared.identity-emoji.custom	c41bbe937cb9d3b10f6f3ddab75328eb6a803edcc93ec90c69f742e5a1352b18	129966	9a72362b7c5c06b2ec3129cf211e90db131d023ad02c70ddcc53c119a8a3951e	58549
shared.identity-emoji.picker	5febf766e1dc1045c45937c187bc74a106349dc2629b965633fc565ab6eb8fc5	169480	407bc84f177743bbae3e1b8f403353045f3f6300830f0ae56e49ea66583d3615	83473
shared.inspector.base	6b2897ece161f92a067789085c2bb74b6195c6b73924fc09c608383f8c22fac6	78051	1381003ae8cdaacbb379ebcd382514e6f749ec1208407ecd6cc477d59fe16e4c	27559
shared.inspector.compact-large	ebb5caedd21e72eb708765ab4a6f8f1035bba761b3c274b34f6eeed7ca0222e6	85447	8757aef4d6b95aec0e6cc40dd87fbef135a9a67a636282dba0c0111dd5da996e	24979
shared.inspector.subtask-large	fab1e3c6be7a35a90a550063607f3d1307b5804bc0709d7b04d7dcbb4fd8cbfc	139348	67f0fb4e3f6c7cab01cfae9813d68fd2c7f064843fc826cf4dafcae3a96cd12f	35565
shared.inspector.task-large	2ff60747b334601134947378bb65585e6f52b0fb0baeed1d4e627e7e35406ded	134729	91d590ddbd4da27d3eb74d7ad3fc86790c68ae6ad970531150ccb1bf30f9c7a4	34211
shared.launch-queue-overflow	ae1b6aaa5db16a79ed7c6616a2c310acc2e9cebeeef6f4b2cf5890fc9d276922	77097	f66528c872d546ab9f8fd95120919700d41264160f4a6d6ea710fbaae8ee29bb	18714
shared.overflow.menu	4e00e83da912cad1d5d6daf0b9d804731f989ad0313da261f23353730fc6de7a	29757	25a5da8dfc74f1adaa124a20a759e57f1d447c8791aa6b3aa8526e0dfe12dff1	17591
shared.permanent-delete	a9c8cde6654115e5b7fe25cdfcbdeb4637ae917feed0171b81a9e74aefcb9485	69445	3af881be56b628d8f3c160396e95b96f5c8778f44b635b9cd21b8d6d6c66e20d	21210
shared.review.summary	a6bffe6ddd41e945220f67f1efb79bb04d7704aa5168f9947d46445f9e099a06	104198	b622487bd049f8328e1a83bc052525edc9ac1d49ea3cc03bddcbec0ffd41ecf8	34203
shared.search.empty	f650e2c6fd94f00cb844659aaf9125b5a1f604ff29b2497852ccb9953bcd5e46	139033	6cdb1979fa477b6784c70a27b4bff5aa8a0a9ae5076387ca27295392dadc61a1	98533
shared.search.results	2599799ff450f863166a5bff4b9445699c7e352ff7d8d929e3c033e65294bfc3	121601	a8d654d551a386bbc193deef4420f28c6774b4a874a5d543b72576f435bf99d5	99355
shared.startup-recovery.failure	6f7d9550380c19b7ad561fe1b93e731eb98d0a8a70d4dce65a89d73a020fd111	105728	0bef8c71bc68ad3bf6e28c7ed19a7d27c2426fe3eb83c716dd9e00c346f14144	19733
shared.unit.menu	1efb8e8b6070672a6e99baa3d33377285799d106b20e342b28fd21395ececa78	57236	e140f3a7e5868afe8ef1e24e3f52846ec687eabdcbc2bb47a5df26a88380d2d5	18044
shared.unsaved-changes	ce0f9e73697f24a4ca728d20518d0806f6b429a329e471d756d3a3915a0e416f	46735	5cb78c2a866525857aa7d850bde1eb8861c3690bd162ef7748a65be8c3a1181a	19827
shared.weekday-reminders	2b3898ac4a3b1c7d02e4a58017e13db9f0ed9fea6b61e23333f2966de0a24d55	90205	aa1e23443155ed28661970a7e39b12f0a9e89790c0416ad3d8d3815a8e64e541	27429
tasks.templates.extreme	86be0696c3b53d10275955133304bedeef1b14b137fc6e71d9f3c56901438692	75520	87cc512263f513bf54eb4160cb7bfe96b499281dbb5a205cfdf0d4f911447228	21575
tasks.templates.extreme.last	ca581853cd06cc35654645cb9b0ad189c83fdedeaf0f043bf7bcd45c6d21e25e	75899	97e0f167acadd149dc4911a5babb3fa50a47615b33ebfff0595649bcc9c8ac2f	23416
tasks.templates.normal	d6efbc82e082f6acc5cc18646c913227369c96cd374c3d59317633e7d6424c8d	155543	38b48f9b32e910e1faf1963501fe95a95ec36573199abfd409bba08b95dd79bb	27439
