source_key	family	discovery_kind	owner
call:UnitSelectionField.UnitSelectionField.menu-001	shared	menu	app/src/main/java/com/whip/app/ui/UnitSelectionField.kt
call:WhipApp.AreaScopeMenu.menu-001	tasks	menu	app/src/main/java/com/whip/app/ui/WhipApp.kt
call:WhipApp.PermanentTaskBatchDeleteDialog.dialog-001	tasks	dialog	app/src/main/java/com/whip/app/ui/WhipApp.kt
call:WhipApp.TaskBulkEditDialog.dialog-001	tasks	dialog	app/src/main/java/com/whip/app/ui/WhipApp.kt
call:WhipApp.TaskRescheduleRoute.dialog-001	tasks	dialog	app/src/main/java/com/whip/app/ui/WhipApp.kt
call:WhipApp.returnToHomeAfterDataReset.dialog-001	tasks	dialog	app/src/main/java/com/whip/app/ui/WhipApp.kt
call:WhipApp.returnToHomeAfterDataReset.menu-001	tasks	menu	app/src/main/java/com/whip/app/ui/WhipApp.kt
call:WhipApp.returnToHomeAfterDataReset.menu-002	tasks	menu	app/src/main/java/com/whip/app/ui/WhipApp.kt
call:WhipApp.startTaskSelection.dialog-001	tasks	dialog	app/src/main/java/com/whip/app/ui/WhipApp.kt
call:WhipApp.startTaskSelection.dialog-002	tasks	dialog	app/src/main/java/com/whip/app/ui/WhipApp.kt
call:WhipApp.startTaskSelection.dialog-003	tasks	dialog	app/src/main/java/com/whip/app/ui/WhipApp.kt
call:WhipApp.startTaskSelection.dialog-004	tasks	dialog	app/src/main/java/com/whip/app/ui/WhipApp.kt
call:WhipApp.startTaskSelection.menu-001	tasks	menu	app/src/main/java/com/whip/app/ui/WhipApp.kt
call:WhipColorPicker.adoptSliders.dialog-001	shared	dialog	app/src/main/java/com/whip/app/ui/WhipColorPicker.kt
symbol:AreaManagementDialog.AreaColorDialog	organization	dialog	app/src/main/java/com/whip/app/ui/AreaManagementDialog.kt
symbol:AreaManagementDialog.AreaDetailContent	organization	page	app/src/main/java/com/whip/app/ui/AreaManagementDialog.kt
symbol:AreaManagementDialog.AreaListContent	organization	page	app/src/main/java/com/whip/app/ui/AreaManagementDialog.kt
symbol:AreaManagementDialog.AreaManagementDialog	organization	dialog	app/src/main/java/com/whip/app/ui/AreaManagementDialog.kt
symbol:AreaManagementDialog.LastAreaRequiredDialog	organization	dialog	app/src/main/java/com/whip/app/ui/AreaManagementDialog.kt
symbol:AreaManagementDialog.MergeAreaDialog	organization	dialog	app/src/main/java/com/whip/app/ui/AreaManagementDialog.kt
symbol:AreaManagementDialog.MoveAreaItemsDialog	organization	dialog	app/src/main/java/com/whip/app/ui/AreaManagementDialog.kt
symbol:AreaManagementDialog.PermanentAreaDeleteDialog	organization	dialog	app/src/main/java/com/whip/app/ui/AreaManagementDialog.kt
symbol:AreaManagementDialog.RenameAreaDialog	organization	dialog	app/src/main/java/com/whip/app/ui/AreaManagementDialog.kt
symbol:AreaPicker.CreateAreaDialog	organization	dialog	app/src/main/java/com/whip/app/ui/AreaPicker.kt
symbol:DomainLoadContent.DomainLoadContent	shared	page	app/src/main/java/com/whip/app/ui/DomainLoadContent.kt
symbol:EditorProtection.UnsavedChangesDialog	shared	dialog	app/src/main/java/com/whip/app/ui/EditorProtection.kt
symbol:FirstRunSetupDialog.FirstRunSetupDialog	shared	dialog	app/src/main/java/com/whip/app/ui/FirstRunSetupDialog.kt
symbol:FiveThreeOneCycleReview.FiveThreeOneCycleReviewDialog	gym	dialog	app/src/main/java/com/whip/app/ui/FiveThreeOneCycleReview.kt
symbol:GoalScreens.ElapsedGoalResetDialog	goals	dialog	app/src/main/java/com/whip/app/ui/GoalScreens.kt
symbol:GoalScreens.GoalActionsDialog	goals	dialog	app/src/main/java/com/whip/app/ui/GoalScreens.kt
symbol:GoalScreens.GoalAreaContent	goals	page	app/src/main/java/com/whip/app/ui/GoalScreens.kt
symbol:GoalScreens.GoalEditorDialog	goals	dialog	app/src/main/java/com/whip/app/ui/GoalScreens.kt
symbol:GoalScreens.GoalInsightsContent	goals	page	app/src/main/java/com/whip/app/ui/GoalScreens.kt
symbol:GoalScreens.GoalMeasurementDialog	goals	dialog	app/src/main/java/com/whip/app/ui/GoalScreens.kt
symbol:GoalScreens.GoalPermanentDeleteDialog	goals	dialog	app/src/main/java/com/whip/app/ui/GoalScreens.kt
symbol:GoalScreens.GoalTemplateDialog	goals	dialog	app/src/main/java/com/whip/app/ui/GoalScreens.kt
symbol:GymScreens.ConfirmationDialog	gym	dialog	app/src/main/java/com/whip/app/ui/GymScreens.kt
symbol:GymScreens.DefaultsMeaningChangeDialog	gym	dialog	app/src/main/java/com/whip/app/ui/GymScreens.kt
symbol:GymScreens.ExerciseActionsDialog	gym	dialog	app/src/main/java/com/whip/app/ui/GymScreens.kt
symbol:GymScreens.ExerciseCategoryContent	gym	page	app/src/main/java/com/whip/app/ui/GymScreens.kt
symbol:GymScreens.ExerciseEditorDialog	gym	dialog	app/src/main/java/com/whip/app/ui/GymScreens.kt
symbol:GymScreens.ExerciseLibraryContent	gym	page	app/src/main/java/com/whip/app/ui/GymScreens.kt
symbol:GymScreens.ExercisePermanentDeleteDialog	gym	dialog	app/src/main/java/com/whip/app/ui/GymScreens.kt
symbol:GymScreens.ExercisePickerDialog	gym	dialog	app/src/main/java/com/whip/app/ui/GymScreens.kt
symbol:GymScreens.GymAreaContent	gym	page	app/src/main/java/com/whip/app/ui/GymScreens.kt
symbol:GymScreens.GymHistoryRoute	gym	page	app/src/main/java/com/whip/app/ui/GymScreens.kt
symbol:GymScreens.GymLibraryLanding	gym	page	app/src/main/java/com/whip/app/ui/GymScreens.kt
symbol:GymScreens.GymProgressContent	gym	page	app/src/main/java/com/whip/app/ui/GymScreens.kt
symbol:GymScreens.GymToolsContent	gym	page	app/src/main/java/com/whip/app/ui/GymScreens.kt
symbol:GymScreens.GymWorkoutRoute	gym	page	app/src/main/java/com/whip/app/ui/GymScreens.kt
symbol:GymScreens.MachineChoiceDialog	gym	dialog	app/src/main/java/com/whip/app/ui/GymScreens.kt
symbol:GymScreens.MachineEditorDialog	gym	dialog	app/src/main/java/com/whip/app/ui/GymScreens.kt
symbol:GymScreens.MachineLibraryContent	gym	page	app/src/main/java/com/whip/app/ui/GymScreens.kt
symbol:GymScreens.MachinePermanentDeleteDialog	gym	dialog	app/src/main/java/com/whip/app/ui/GymScreens.kt
symbol:GymScreens.RestDurationDialog	gym	dialog	app/src/main/java/com/whip/app/ui/GymScreens.kt
symbol:GymScreens.RoutineContent	gym	page	app/src/main/java/com/whip/app/ui/GymScreens.kt
symbol:GymScreens.RoutinePermanentDeleteDialog	gym	dialog	app/src/main/java/com/whip/app/ui/GymScreens.kt
symbol:GymScreens.RoutineProgramPositionDialog	gym	dialog	app/src/main/java/com/whip/app/ui/GymScreens.kt
symbol:GymScreens.TrackedRecordsManagerDialog	gym	dialog	app/src/main/java/com/whip/app/ui/GymScreens.kt
symbol:GymScreens.WorkoutContent	gym	page	app/src/main/java/com/whip/app/ui/GymScreens.kt
symbol:GymScreens.WorkoutEditorDialog	gym	dialog	app/src/main/java/com/whip/app/ui/GymScreens.kt
symbol:GymScreens.WorkoutExerciseNotesDialog	gym	dialog	app/src/main/java/com/whip/app/ui/GymScreens.kt
symbol:GymScreens.WorkoutGroupDialog	gym	dialog	app/src/main/java/com/whip/app/ui/GymScreens.kt
symbol:GymScreens.WorkoutHistoryContent	gym	page	app/src/main/java/com/whip/app/ui/GymScreens.kt
symbol:GymScreens.WorkoutPermanentDeleteDialog	gym	dialog	app/src/main/java/com/whip/app/ui/GymScreens.kt
symbol:GymScreens.WorkoutSetEditorDialog	gym	dialog	app/src/main/java/com/whip/app/ui/GymScreens.kt
symbol:HabitScreens.HabitActionsDialog	habits	dialog	app/src/main/java/com/whip/app/ui/HabitScreens.kt
symbol:HabitScreens.HabitAreaContent	habits	page	app/src/main/java/com/whip/app/ui/HabitScreens.kt
symbol:HabitScreens.HabitEditorDialog	habits	dialog	app/src/main/java/com/whip/app/ui/HabitScreens.kt
symbol:HabitScreens.HabitHistoryLogDialog	habits	dialog	app/src/main/java/com/whip/app/ui/HabitScreens.kt
symbol:HabitScreens.HabitPauseDialog	habits	dialog	app/src/main/java/com/whip/app/ui/HabitScreens.kt
symbol:HabitScreens.HabitPermanentDeleteDialog	habits	dialog	app/src/main/java/com/whip/app/ui/HabitScreens.kt
symbol:HabitScreens.HabitTemplateDialog	habits	dialog	app/src/main/java/com/whip/app/ui/HabitScreens.kt
symbol:HabitScreens.HabitTimerReviewDialog	habits	dialog	app/src/main/java/com/whip/app/ui/HabitScreens.kt
symbol:HabitScreens.HabitValueDialog	habits	dialog	app/src/main/java/com/whip/app/ui/HabitScreens.kt
symbol:HealthPermissionsRationaleActivity.HealthPermissionsRationaleContent	settings	page	app/src/main/java/com/whip/app/health/HealthPermissionsRationaleActivity.kt
symbol:LaunchQueueOverflowDialog.LaunchQueueOverflowDialog	shared	dialog	app/src/main/java/com/whip/app/ui/LaunchQueueOverflowDialog.kt
symbol:MainActivity.NormalWhipContent	shared	page	app/src/main/java/com/whip/app/MainActivity.kt
symbol:MainActivity.WhipActivityContent	shared	page	app/src/main/java/com/whip/app/MainActivity.kt
symbol:PendingTaskEditorLaunchDialog.PendingTaskEditorLaunchDialog	tasks	dialog	app/src/main/java/com/whip/app/ui/PendingTaskEditorLaunchDialog.kt
symbol:PermanentDeleteDialog.PermanentDeleteDialog	shared	dialog	app/src/main/java/com/whip/app/ui/PermanentDeleteDialog.kt
symbol:ProductivityEditorComponents.ClockPickerDialog	shared	dialog	app/src/main/java/com/whip/app/ui/ProductivityEditorComponents.kt
